date,trip_count,temp_c,humidity,rain_flag,holiday_flag,rain_status,holiday_status
2015-01-01,378902,-4.16420209391665,61.583333333333336,0,1.0,No Rain,Holiday
2015-01-02,343033,0.892731606750021,61.458333333333336,0,0.0,No Rain,Normal Day
2015-01-03,404342,-2.425185651333301,77.58333333333333,1,0.0,Rain,Normal Day
2015-01-04,326486,5.052602209458357,96.625,1,0.0,Rain,Normal Day
2015-01-05,360624,4.24346309408336,64.33333333333333,1,0.0,Rain,Normal Day
2015-01-06,381668,-6.289754485749974,64.875,0,0.0,No Rain,Normal Day
2015-01-07,426763,-7.931018779791643,82.625,0,0.0,No Rain,Normal Day
2015-01-08,447765,-10.85643381424998,58.333333333333336,0,0.0,No Rain,Normal Day
2015-01-09,444838,-5.787336985124978,74.83333333333333,0,0.0,No Rain,Normal Day
2015-01-10,512058,-8.954274473374978,59.833333333333336,0,0.0,No Rain,Normal Day
2015-01-11,416573,-9.23088971137498,66.95833333333333,0,0.0,No Rain,Normal Day
2015-01-12,393561,-2.3591839267916463,87.875,1,0.0,Rain,Normal Day
2015-01-13,445475,-2.6242083333333164,82.29166666666667,0,0.0,No Rain,Normal Day
2015-01-14,439127,-8.279791666666647,77.20833333333333,1,0.0,Rain,Normal Day
2015-01-15,447626,-6.490643533458311,87.875,0,0.0,No Rain,Normal Day
2015-01-16,474537,-4.117902148124981,82.33333333333333,0,0.0,No Rain,Normal Day
2015-01-17,473443,-8.123083333333307,72.79166666666667,0,0.0,No Rain,Normal Day
2015-01-18,423965,-3.1841666666666435,87.625,1,0.0,Rain,Normal Day
2015-01-19,340289,0.8738233773333519,89.0,1,1.0,Rain,Holiday
2015-01-20,402491,-2.222114771208316,81.08333333333333,0,0.0,No Rain,Normal Day
2015-01-21,428544,-5.205314894499982,77.45833333333333,0,0.0,No Rain,Normal Day
2015-01-22,449102,-2.666070953083313,84.29166666666667,0,0.0,No Rain,Normal Day
2015-01-23,468995,-4.027839094333309,82.29166666666667,0,0.0,No Rain,Normal Day
2015-01-24,457398,-1.0466912565416446,95.79166666666667,1,0.0,Rain,Normal Day
2015-01-25,404524,-0.411699584958311,81.54166666666667,1,0.0,Rain,Normal Day
2015-01-26,228313,-5.278031792999975,83.875,0,0.0,No Rain,Normal Day
2015-01-27,134791,-3.9398712998333187,86.33333333333333,0,0.0,No Rain,Normal Day
2015-01-28,377542,-6.4490396304166495,76.375,0,0.0,No Rain,Normal Day
2015-01-29,428937,-9.807955288374984,76.625,0,0.0,No Rain,Normal Day
2015-01-30,480003,-1.754541567583317,86.91666666666667,0,0.0,No Rain,Normal Day
2015-01-31,516502,-7.002826263791637,73.70833333333333,0,0.0,No Rain,Normal Day
